id,catalog_file,manufacturer,product_type_en,product_type_ko,model_name,pumping_speed_m3h_50hz,ultimate_vacuum_mbar,motor_power_kw,oil_type,inlet_connection,application_ko,notes
79,16.디스플레이진공게이지_P4-P5.pdf,Edwards,Handheld Vacuum Gauge,핸드헬드 진공 게이지,P4,N/A (게이지),1,N/A,N/A,"산업 공정 점검, 진공 시스템 모니터링, 누설 검사","측정 범위: 2000~1 mbar (절대압) / 피에조저항 원리 / USB-C + 블루투스 LE 옵션 / 데이터 로거 내장 / NW16 플랜지"
80,16.디스플레이진공게이지_P4-P5.pdf,Edwards,Handheld Vacuum Gauge,핸드헬드 진공 게이지,P5,N/A (게이지),5.0E-5,N/A,N/A,"산업 공정 점검, 진공 시스템 모니터링, 누설 검사","측정 범위: 1200~5×10⁻⁵ mbar (절대압) / 피에조저항+피라니 복합 / USB-C + 블루투스 LE 옵션 / 데이터 로거 내장 / NW16 플랜지"
81,17.컨트롤러_TIC.pdf,Edwards,Vacuum Controller,진공 컨트롤러,TIC-3head,N/A (컨트롤러),N/A,0.055,N/A,"분석기기, 연구개발, 반도체 진공 시스템","3채널 게이지 컨트롤러 / APG·AIM·WRG·AIGX 자동 인식 / 6개 릴레이 세트포인트 / RS232·RS485 / Windows PC 소프트웨어"
82,17.컨트롤러_TIC.pdf,Edwards,Vacuum Controller,진공 컨트롤러,TIC-6head,N/A (컨트롤러),N/A,0.16,N/A,"분석기기, 연구개발, 반도체 진공 시스템","6채널 게이지 컨트롤러 / APG·AIM·WRG·AIGX·Barocel 자동 인식 / 터보펌프·백킹펌프 제어 / RS232·RS485 / Ethernet 모니터링"
83,18.컨트롤러_ADC.pdf,Edwards,Vacuum Controller,진공 컨트롤러,ADC-Standard,N/A (컨트롤러),N/A,N/A,N/A,"실험실, 산업용 진공 모니터링","단채널 게이지 컨트롤러 / APG·WRG 등 자동 인식 / 1/8 DIN 소형 / 100-240V AC / 0-10V 아날로그 출력"
84,18.컨트롤러_ADC.pdf,Edwards,Vacuum Controller,진공 컨트롤러,ADC-MkII,N/A (컨트롤러),N/A,N/A,N/A,"실험실, 산업용 진공 모니터링","2채널 게이지 컨트롤러 / APG·AIM·WRG 지원 / 2 세트포인트 릴레이 / RS232 통신 / 0-10V 아날로그 출력×2"
85,19.미스트필터(EMF).pdf,Edwards,Oil Mist Filter,오일 미스트 필터,EMF3,3,N/A (필터),N/A,N/A,"오일 로터리 펌프 배기 필터 (E2M0.7/1.5)","유량 3 m³/h / NW10 플랜지 / 섬유 복합 미스트 필터 + 활성탄 탈취 필터 / 압력 릴리프 밸브 내장"
86,19.미스트필터(EMF).pdf,Edwards,Oil Mist Filter,오일 미스트 필터,EMF10,12,N/A (필터),N/A,N/A,"오일 로터리 펌프 배기 필터 (RV3/5/8 등)","유량 12 m³/h / NW25 플랜지 / 섬유 복합 미스트 필터 + 활성탄 탈취 필터 / 오일 레벨 확인창"
87,19.미스트필터(EMF).pdf,Edwards,Oil Mist Filter,오일 미스트 필터,EMF20,20,N/A (필터),N/A,N/A,"오일 로터리 펌프 배기 필터 (RV12/E1M18/E2M18)","유량 20 m³/h / NW25 플랜지 / 섬유 복합 미스트 필터 + 활성탄 탈취 필터 / 오일 드레인 키트 옵션"
88,20.진공펌프오일_Ultra19.pdf,Edwards,Vacuum Pump Oil,진공 펌프 오일,Ultragrade 15,N/A (오일),N/A,N/A,N/A,"E2M0.7/1.5 등 소형 2단 오일 로터리 펌프","점도 38cSt@40°C / 인화점 220°C / 저증기압 미네랄 오일 / 1L 또는 4L 병"
89,20.진공펌프오일_Ultra19.pdf,Edwards,Vacuum Pump Oil,진공 펌프 오일,Ultragrade 19,N/A (오일),N/A,N/A,N/A,"RV, E2M18/28, nES, E2S 오일 로터리 펌프","점도 55cSt@40°C / 인화점 220°C / 저증기압 프리미엄 미네랄 오일 / 1L 또는 4L 병"
90,20.진공펌프오일_Ultra19.pdf,Edwards,Vacuum Pump Oil,진공 펌프 오일,Ultragrade 20,N/A (오일),N/A,N/A,N/A,"EH 부스터 펌프 (기어케이스용)","점도 103cSt@40°C / 인화점 220°C / 고점도 미네랄 오일"
91,20.진공펌프오일_Ultra19.pdf,Edwards,Vacuum Pump Oil,진공 펌프 오일,Ultragrade 70,N/A (오일),N/A,N/A,N/A,"E2M 중대형(E2M40~275), E2S, nES 산업용 오일 로터리","점도 70cSt@40°C / 인화점 230°C / 산업용 고급 미네랄 오일"
92,21.피팅_52~57페이지사용.PDF,Edwards,Vacuum Fittings Catalog,진공 피팅 카탈로그,Fitting-ISO-KF (NW),N/A (피팅),N/A,N/A,N/A,"진공 배관 연결 (NW10~50 플랜지)","ISO-KF(NW) 플랜지 시리즈 / 클램프·센터링 링·O-링 포함 / 크기: NW10/16/25/40/50 / 스테인리스 또는 알루미늄"
93,21.피팅_52~57페이지사용.PDF,Edwards,Vacuum Fittings Catalog,진공 피팅 카탈로그,Fitting-ISO-K,N/A (피팅),N/A,N/A,N/A,"고진공 배관 연결 (DN63~250 플랜지)","ISO-K 플랜지 시리즈 / 볼트 클램프 방식 / 크기: DN63/100/160/200/250 / 스테인리스"
94,21.피팅_52~57페이지사용.PDF,Edwards,Vacuum Fittings Catalog,진공 피팅 카탈로그,Fitting-CF (ConFlat),N/A (피팅),N/A,N/A,N/A,"초고진공(UHV) 배관 연결","ConFlat(CF) 플랜지 시리즈 / 금속 가스켓 방식 / UHV 적용 / 크기: DN16~253 / 스테인리스"
